Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
112466750140866,Texas True Blue Coffee,These ads ran without a disclaimer,≤100
173462956087323,NBC DFW Community,These ads ran without a disclaimer,≤100
654164378336661,California Federation of College Republicans,California Federation of College Republicans,≤100
1647193241982429,Say NO to “Gun Control”,Tanner Reed Mccartney,≤100
253148485587428,Laryssa Bonacquisti,These ads ran without a disclaimer,≤100
128591060504244,Essilor Vision Foundation,These ads ran without a disclaimer,≤100
1755810367986271,Eurasia Group Foundation,Eurasia Group Foundation,≤100
38882699096,Polaris,POLARIS PROJECT,646
1996971637047489,ProQuest Schools & Communities,PROQUEST LLC,≤100
101857784637143,Red Wave Clothing Co,Michael Shawn Mcclister,≤100
153477354680659,Fair World Project,These ads ran without a disclaimer,≤100
141150193145274,Judge Patty O'Caña-Olivarez,Patty O'Caña-Olivarez Campaign,537
1587845658207917,Friends of Manufacturing,National Association of Manufacturers,4569
2169026740087693,Justice of the Peace 1-1 Judge Mike McAuliffe,Taylor County Justice of the Peace Precinct 1 Place 1,≤100
127675453978638,Unlikely Heroes,These ads ran without a disclaimer,≤100
529154000442477,America Rising,AMERICARISINGPAC.ORG,201
2425289201023841,Stephen Pennington for Tax Assessor-Collector,Madeleine None Nerio,≤100
636665430100381,Robyn Stearns for Supervisor 2020,Stearns for Supervisor 2020,≤100
117370552978912,Kattumarum,These ads ran without a disclaimer,≤100
105883357518827,Chris Ekstrom,Chris Ekstrom for Congress,27598
89666873904,Learning Disabilities Association of America,These ads ran without a disclaimer,≤100
376256666294500,MAC Fitness,Matthew A Cybulski,≤100
2223151871134889,Trump45Merch,Thomas Charles Granack,327
111438420421175,Dump Ben Smith,These ads ran without a disclaimer,≤100
109430102415934,AskDrBrown,These ads ran without a disclaimer,≤100
105204779855,WyoFile,These ads ran without a disclaimer,≤100
143463739350591,Vision Quilt,VISION QUILT,≤100
932105903504269,Sesame Sanders,These ads ran without a disclaimer,≤100
6162159887,The World,The World,626
104013881002860,"Bud Elias for Clearwater City Council, Seat 3","Bud Elias for Clearwater City Council, Seat 3",≤100
103560211081109,Road Smarts Daily,Rebecca Evanne Dajuste,≤100
389311201264039,Cleverciti,These ads ran without a disclaimer,≤100
109967887156385,EcoBrush.us,These ads ran without a disclaimer,≤100
330369533496,Jerusalem Institute of Justice מכון ירושלים לצדק,These ads ran without a disclaimer,≤100
602074469965571,Plan C,These ads ran without a disclaimer,≤100
112041183486666,Project Sunshine,ACRONYM,466
113207176798128,Eco Wise Grass,These ads ran without a disclaimer,≤100
960045850672105,One More Wave,Ernad Civic,125﻿
345572342797971,Monty for City Council,Monty McIntyre for City Council 2020,≤100
80696790240,Global Ministries (Disciples of Christ and United Church of Christ),Global Ministries - United Church of Christ and Christian Church (Disciples of Christ),≤100
255623207824623,tentree,These ads ran without a disclaimer,≤100
378399763000562,Re-Elect Judge Linda Salazar,Mark Anthony Cortez,7463
93733621984,Boston Public Market,Katja Dagmar Lange,≤100
41182871633,National Museum of American Jewish History,These ads ran without a disclaimer,≤100
110318730393248,US speaking society,These ads ran without a disclaimer,≤100
1573382629435474,FinFlam.com,FinFlam.com,≤100
425533567468511,NKCDC,These ads ran without a disclaimer,≤100
203270916510389,One Safe Place,SAFE CITY COMMISSION,205
106953609363149,Rocco the Comic,These ads ran without a disclaimer,≤100
108519723832934,RAFT,These ads ran without a disclaimer,≤100
2605176596166384,Amy Meredith for Judge,Amy Meredith Campaign,5221
100229101590476,Bayareagop.com,BayAreaGOP.com,≤100
159449141570348,Nikiya Dodd,Friends of NIkiya Dodd,≤100
216311481960,Bill Gates,Bill Gates,4118
324122588247972,Brent Benson For Jackson County Circuit Judge,Brent Benson for Jackson County Circuit Judge,≤100
1436015636699810,Orlando "Papas" Lopez San Benito CISD School Board Trustee Place 4,These ads ran without a disclaimer,≤100
101728361351857,Jayson "Jay" Martínez Alcalde de Lajas,These ads ran without a disclaimer,≤100
10423517786,Harvard Business Review,HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION,440
235758620335042,State Representative Willie Madrid - New Mexico House District 53,Willie Madrid for State Representative,≤100
111671063650738,Underground Church / UGC,These ads ran without a disclaimer,≤100
43287633515,Alliance for Climate Education,Alliance for Climate Education,24814
440677226778016,Ira Bershad for DCDP Chair,Ira Bershad for DCDP Chair,759
868259909915525,Susie Lee,SUSIE LEE FOR CONGRESS,133
116429943098229,David Abramson for Yolo County Supervisor 2020,David Abramson for Yolo County Supervisor 2020,≤100
823747414319711,Gloucester Democratic City Committee,Gloucester Democratic City Committee,≤100
632824680503900,TXEnergyBiz,Energy Media,527
133937690180,Student Conservation Association,Student Conservation Association,323
154008448508446,TelQuel,These ads ran without a disclaimer,≤100
76025018070,San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,≤100
513695272011123,The Genesis Prize,GPF NA LLC,≤100
151119378313327,Tony Evers,Tony for Wisconsin,160
101695977618,Franklin Templeton,These ads ran without a disclaimer,≤100
